Alpha,C_l,C_d,C_m
-14,-1.18861927037441,0.0372948984737664,-0.0517132182382165
-13.4285714285714,-1.17994609210744,0.032500909914392,-0.050443102595906
-12.8571428571429,-1.16644099450401,0.0285023506512068,-0.0482898105641271
-12.2857142857143,-1.1478881153717,0.0252951981997811,-0.0452583900406667
-11.7142857142857,-1.12714408440619,0.0226790768451374,-0.0412399460950654
-11.1428571428571,-1.10477754684684,0.0206604090729244,-0.0361362982510415
-10.5714285714286,-1.08904690476633,0.0190683628851029,-0.0288708716612596
-10,-1.08556238282732,0.0179620941585712,-0.0184363939544841
-9.42857142857143,-1.10193760835392,0.0173495418771334,-0.00364817267660628
-8.85714285714286,-1.02417323180829,0.0160718884345989,-0.00657584452682169
-8.28571428571428,-0.943674108271671,0.0148617560856634,-0.00985608262824629
-7.71428571428571,-0.861586799362492,0.0137611245532727,-0.0132750308795146
-7.14285714285714,-0.778560654122155,0.0127362469942503,-0.0167603402214863
-6.57142857142857,-0.704104700115785,0.0118350116361698,-0.0182410064037418
-5.42857142857143,-0.58186468562837,0.0104755866899899,-0.0150448073755488
-4.85714285714286,-0.523394202568024,0.00995910086601553,-0.0128219868621955
-4.28571428571429,-0.463526687592269,0.00953405879342652,-0.0108857372348356
-3.71428571428571,-0.40276226760712,0.00919159262202053,-0.00915541660891038
-3.14285714285714,-0.341482523613399,0.00891666759052494,-0.00755420384406546
-2.57142857142857,-0.279786392166627,0.00870446825613155,-0.00606296523712415
-2,-0.217841221732719,0.00854859875324924,-0.00464203891178146
-1.42857142857143,-0.15571499518851,0.00843898289728495,-0.00327749962475813
-0.857142857142857,-0.0934382670335487,0.00836826690853594,-0.00195855647557618
-0.285714285714286,-0.0311782728984174,0.00833249657742651,-0.000645523610112989
0.285714285714286,0.0311782729060051,0.00833249659663755,0.000645523608729522
0.857142857142857,0.0934382670905032,0.00836826696660963,0.00195855646586352
1.42857142857143,0.155714995330726,0.00843898299767175,0.0032774996011482
2,0.217841222055461,0.00854859890220432,0.0046420388564865
2.57142857142857,0.279786392726726,0.00870446845957671,0.00606296514288157
3.14285714285714,0.34148252452662,0.00891666785872475,0.0075542036938329
3.71428571428571,0.402762269053767,0.00919159297188644,0.00915541637073262
4.28571428571429,0.463526689800512,0.00953405924612549,0.0108857368759706
4.85714285714286,0.523394205821191,0.00995910145238359,0.0128219863328558
5.42857142857143,0.581864689431768,0.0104755874357599,0.0150448067612019
6.57142857142857,0.704104711789678,0.0118350129317912,0.0182410043563513
7.14285714285714,0.778560679639749,0.0127362487670191,0.0167603353779013
7.71428571428571,0.861586837786096,0.013761126877557,0.013275023513373
8.28571428571428,0.943674158303369,0.0148617589292372,0.00985607324961949
9.42857142857143,1.10193771363851,0.017349546726931,0.0036481531837269
10,1.08556244508629,0.0179620988659191,0.0184363848030442
10.5714285714286,1.08904699377216,0.0190683684158632,0.0288708598285192
11.1428571428571,1.1047776639836,0.0206604165688358,0.0361362832404865
12.2857142857143,1.14788837820424,0.0252952097413086,0.0452583615136684
12.8571428571429,1.16644134407473,0.0285023664398537,0.0482897747352448
13.4285714285714,1.1799465454771,0.0325009320206608,0.0504430582602904
14,1.1886198599191,0.0372949284080222,0.0517131638251446
